Категория: Все категории

Месяц,анекдоты про евреев: (По всему миру),анекдоты: (По всему миру)
2004-01,0,14
2004-02,0,15
2004-03,1,13
2004-04,0,15
2004-05,0,13
2004-06,0,17
2004-07,0,16
2004-08,0,16
2004-09,0,15
2004-10,0,17
2004-11,0,17
2004-12,0,26
2005-01,0,14
2005-02,0,16
2005-03,0,17
2005-04,0,17
2005-05,0,15
2005-06,0,15
2005-07,0,17
2005-08,0,16
2005-09,0,14
2005-10,0,17
2005-11,0,17
2005-12,0,22
2006-01,0,16
2006-02,0,19
2006-03,0,18
2006-04,0,17
2006-05,0,16
2006-06,0,17
2006-07,0,17
2006-08,0,19
2006-09,0,21
2006-10,0,21
2006-11,0,24
2006-12,0,27
2007-01,0,21
2007-02,0,24
2007-03,0,23
2007-04,0,23
2007-05,0,21
2007-06,0,22
2007-07,0,22
2007-08,0,21
2007-09,0,22
2007-10,0,25
2007-11,0,27
2007-12,0,34
2008-01,0,28
2008-02,0,32
2008-03,0,31
2008-04,0,32
2008-05,0,32
2008-06,0,32
2008-07,0,33
2008-08,0,33
2008-09,0,36
2008-10,0,42
2008-11,0,44
2008-12,0,53
2009-01,0,47
2009-02,1,49
2009-03,1,50
2009-04,1,49
2009-05,0,45
2009-06,1,44
2009-07,1,45
2009-08,1,44
2009-09,1,44
2009-10,1,49
2009-11,1,59
2009-12,1,60
2010-01,1,50
2010-02,1,53
2010-03,1,49
2010-04,1,44
2010-05,1,43
2010-06,1,41
2010-07,1,42
2010-08,1,44
2010-09,1,48
2010-10,1,54
2010-11,1,60
2010-12,1,67
2011-01,1,67
2011-02,1,78
2011-03,1,76
2011-04,1,74
2011-05,1,65
2011-06,1,68
2011-07,1,71
2011-08,1,75
2011-09,1,80
2011-10,1,90
2011-11,1,93
2011-12,1,100
2012-01,1,93
2012-02,1,91
2012-03,1,83
2012-04,1,66
2012-05,0,59
2012-06,0,59
2012-07,1,59
2012-08,1,63
2012-09,0,62
2012-10,1,62
2012-11,1,66
2012-12,1,71
2013-01,1,64
2013-02,1,66
2013-03,1,64
2013-04,0,58
2013-05,1,52
2013-06,0,52
2013-07,1,51
2013-08,1,50
2013-09,1,49
2013-10,1,53
2013-11,1,56
2013-12,1,58
2014-01,1,54
2014-02,1,51
2014-03,1,53
2014-04,0,50
2014-05,0,47
2014-06,1,46
2014-07,1,46
2014-08,1,45
2014-09,1,45
2014-10,1,49
2014-11,1,51
2014-12,1,55
2015-01,1,51
2015-02,1,52
2015-03,1,50
2015-04,1,48
2015-05,1,46
2015-06,1,45
2015-07,0,44
2015-08,1,44
2015-09,1,43
2015-10,0,47
2015-11,1,48
2015-12,0,52
2016-01,1,48
2016-02,1,47
2016-03,1,46
2016-04,1,43
2016-05,0,41
2016-06,0,40
2016-07,1,41
2016-08,1,42
2016-09,1,43
2016-10,0,45
2016-11,1,47
2016-12,1,51
